sample,reading,value
12,1,1917
12,2,1921
12,3,1929
12,4,1934
12,5,1936
12,6,1938
12,7,1935
12,8,1941
12,9,1944
12,10,1938
12,11,1944
12,12,1946
12,13,1946
12,14,1944
12,15,1949
12,16,1948
12,17,1945
12,18,1949
12,19,1950
12,20,1951
12,21,1947
12,22,1947
12,23,1952
12,24,1951
12,25,1952
12,26,1953
12,27,1953
12,28,1953
12,29,1950
12,30,1957
12,31,1956
12,32,1952
12,33,1956
12,34,1952
12,35,1957
12,36,1952
12,37,1957
12,38,1958
12,39,1954
12,40,1958
12,41,1955
12,42,1960
12,43,1954
12,44,1959
12,45,1954
12,46,1955
12,47,1958
12,48,1955
12,49,1956
12,50,1958
12,51,1960
12,52,1957
12,53,1958
12,54,1958
12,55,1958
12,56,1958
12,57,1964
12,58,1961
12,59,1963
12,60,1959
12,61,1962
12,62,1957
12,63,1962
12,64,1959
12,65,1960
12,66,1959
12,67,1960
12,68,1965
12,69,1960
12,70,1965
12,71,1964
12,72,1961
12,73,1961
12,74,1966
12,75,1966
12,76,1960
12,77,1965
12,78,1965
12,79,1960
12,80,1966
12,81,1960
12,82,1965
12,83,1961
12,84,1962
12,85,1967
12,86,1967
12,87,1966
12,88,1968
12,89,1963
12,90,1966
12,91,1961
12,92,1962
12,93,1963
12,94,1970
12,95,1967
12,96,1968
12,97,1969
12,98,1966
12,99,1969
12,100,1964
11,1,172477
11,2,173167
11,3,173650
11,4,174041
11,5,174340
11,6,174593
11,7,174800
11,8,175007
11,9,175191
11,10,175352
11,11,175513
11,12,175651
11,13,175743
11,14,175858
11,15,175927
11,16,176019
11,17,176111
11,18,176180
11,19,176226
11,20,176318
11,21,176364
11,22,176410
11,23,176456
11,24,176502
11,25,176548
11,26,176594
11,27,176617
11,28,176663
11,29,176686
11,30,176732
11,31,176755
11,32,176801
11,33,176801
11,34,176824
11,35,176870
11,36,176893
11,37,176893
11,38,176916
11,39,176962
11,40,176962
11,41,176985
11,42,177008
11,43,177008
11,44,177008
11,45,177031
11,46,177054
11,47,177054
11,48,177077
11,49,177077
11,50,177077
11,51,177100
11,52,177100
11,53,177123
11,54,177146
11,55,177146
11,56,177146
11,57,177146
11,58,177169
11,59,177169
11,60,177192
11,61,177169
11,62,177192
11,63,177192
11,64,177192
11,65,177215
11,66,177215
11,67,177215
11,68,177215
11,69,177215
11,70,177215
11,71,177215
11,72,177238
11,73,177261
11,74,177261
11,75,177261
11,76,177261
11,77,177261
11,78,177261
11,79,177261
11,80,177261
11,81,177284
11,82,177284
11,83,177284
11,84,177284
11,85,177284
11,86,177284
11,87,177307
11,88,177284
11,89,177307
11,90,177284
11,91,177307
11,92,177307
11,93,177330
11,94,177330
11,95,177330
11,96,177330
11,97,177330
11,98,177353
11,99,177330
11,100,177353
10,1,36822
10,2,36976
10,3,37069
10,4,37159
10,5,37224
10,6,37293
10,7,37318
10,8,37370
10,9,37426
10,10,37499
10,11,37660
10,12,37616
10,13,37637
