sample,reading,value
9,99,22085
9,100,22080
2-6,1,41938
2-6,2,41561
2-6,3,41305
2-6,4,41089
2-6,5,40896
2-6,6,40723
2-6,7,40557
2-6,8,40396
2-6,9,40247
2-6,10,40083
2-6,11,39925
2-6,12,39786
2-6,13,39626
2-6,14,39483
2-6,15,39351
2-6,16,39220
2-6,17,39085
2-6,18,38949
2-6,19,38810
2-6,20,38684
2-6,21,38560
2-6,22,38442
2-6,23,38321
2-6,24,38209
2-6,25,38086
2-6,26,37971
2-6,27,37844
2-6,28,37728
2-6,29,37607
2-6,30,37495
2-6,31,37378
2-6,32,37270
2-6,33,37161
2-6,34,37060
2-6,35,36941
2-6,36,36845
2-6,37,36738
2-6,38,36636
2-6,39,36536
2-6,40,36435
2-6,41,36325
2-6,42,36221
2-6,43,36131
2-6,44,36025
2-6,45,35925
2-6,46,35827
2-6,47,35728
2-6,48,35624
2-6,49,35535
2-6,50,35445
2-6,51,35345
2-6,52,35251
2-6,53,35162
2-6,54,35076
2-6,55,34982
2-6,56,34877
2-6,57,34785
2-6,58,34695
2-6,59,34613
2-6,60,34527
2-6,61,34447
2-6,62,34362
2-6,63,34275
2-6,64,34201
2-6,65,34104
2-6,66,34020
2-6,67,33941
2-6,68,33858
2-6,69,33772
2-6,70,33695
2-6,71,33608
2-6,72,33530
2-6,73,33455
2-6,74,33379
2-6,75,33282
2-6,76,33209
2-6,77,33117
2-6,78,33035
2-6,79,32959
2-6,80,32885
2-6,81,32803
2-6,82,32712
2-6,83,32631
2-6,84,32551
2-6,85,32479
2-6,86,32397
2-6,87,32313
2-6,88,32240
2-6,89,32166
2-6,90,32087
2-6,91,32006
2-6,92,31927
2-6,93,31853
2-6,94,31776
2-6,95,31696
2-6,96,31617
2-6,97,31547
2-6,98,31477
2-6,99,31394
2-6,100,31321
2-5,1,52470
2-5,2,51045
2-5,3,50227
2-5,4,49551
2-5,5,48977
2-5,6,48446
2-5,7,47971
2-5,8,47507
2-5,9,47078
2-5,10,46700
2-5,11,46410
2-5,12,46110
2-5,13,45827
2-5,14,45519
2-5,15,45195
2-5,16,44933
2-5,17,44645
2-5,18,44367
2-5,19,44097
2-5,20,43849
2-5,21,43589
2-5,22,43338
2-5,23,43078
2-5,24,42819
2-5,25,42555
2-5,26,42319
2-5,27,42070
2-5,28,41850
2-5,29,41613
2-5,30,41382
2-5,31,41167
2-5,32,40972
2-5,33,40748
2-5,34,40540
2-5,35,40353
2-5,36,40171
2-5,37,40009
2-5,38,39838
2-5,39,39709
2-5,40,39585
2-5,41,39471
2-5,42,39385
2-5,43,39323
2-5,44,39282
2-5,45,39255
2-5,46,39243
2-5,47,39370
2-5,48,39714
2-5,49,39792
2-5,50,39867
2-5,51,39936
2-5,52,40015
2-5,53,40122
2-5,54,40213
2-5,55,40343
2-5,56,40459
2-5,57,40587
2-5,58,40703
2-5,59,40863
2-5,60,41020
2-5,61,41153
2-5,62,41302
2-5,63,41455
2-5,64,41605
2-5,65,41754
2-5,66,41887
2-5,67,42043
2-5,68,42177
2-5,69,42337
2-5,70,42471
2-5,71,42615
2-5,72,42760
2-5,73,42887
2-5,74,43017
2-5,75,43146
2-5,76,43276
2-5,77,43417
2-5,78,43561
2-5,79,43697
2-5,80,43830
2-5,81,43949
2-5,82,44068
2-5,83,44178
2-5,84,44290
2-5,85,44406
2-5,86,44500
2-5,87,44608
2-5,88,44704
2-5,89,44802
2-5,90,44906
2-5,91,44994
2-5,92,45091
2-5,93,45181
2-5,94,45257
2-5,95,45353
2-5,96,45424
2-5,97,45516
2-5,98,45582
2-5,99,45670
2-5,100,45736
2-4,1,103362
2-4,2,100694
2-4,3,98946
2-4,4,97704
2-4,5,97014
2-4,6,96830
2-4,7,97037
2-4,8,97451
2-4,9,98095
2-4,10,98854
2-4,11,99590
2-4,12,100464
2-4,13,101361
2-4,14,102212
2-4,15,103086
2-4,16,103914
2-4,17,104719
2-4,18,105524
2-4,19,106306
2-4,20,107042
2-4,21,107801
2-4,22,108514
2-4,23,109204
2-4,24,109917
2-4,25,110561
2-4,26,111182
2-4,27,111826
2-4,28,112447
2-4,29,113022
2-4,30,113597
2-4,31,114172
2-4,32,114701
2-4,33,115230
2-4,34,115759
2-4,35,116265
2-4,36,116771
2-4,37,117231
2-4,38,117714
2-4,39,118151
2-4,40,118611
2-4,41,119025
2-4,42,119439
2-4,43,119853
2-4,44,120244
2-4,45,120612
2-4,46,120957
2-4,47,121302
2-4,48,121670
2-4,49,121992
2-4,50,122314
2-4,51,122636
2-4,52,122935
2-4,53,123234
2-4,54,123510
2-4,55,123786
2-4,56,124039
2-4,57,124315
2-4,58,124568
2-4,59,124821
2-4,60,125051
2-4,61,125304
2-4,62,125488
